"Date","Type","Rank","Symbol","Company Name","Price","Change %","Quant Rating","Sector & Industry","Market Cap","P/E TTM","NET Income TTM","Yield FWD","1M Perf","6M Perf","SA Analyst Ratings","EBITDA FWD","52W Range","","","CIK"
"2026-06-01","top_materials","57","BASFY","BASF SE","14.79","0.14%","Rating: Hold3.42","Diversified Chemicals","51.48B","30.27","2.01B","4.47%","-5.98%","13.62%","Rating: Hold3.00","3.14%","11.75","","",""
"2026-06-01","top_materials","58","ALB","Albemarle Corporation","170.34","-3.45%","Rating: Hold3.42","Specialty Chemicals","20.81B","NM","-232.89M","0.92%","-7.58%","35.72%","Rating: Buy3.50","35.88%","53.70","","","915913"
"2026-06-01","top_materials","59","CF","CF Industries Holdings, Inc.","114.50","1.91%","Rating: Hold3.41","Fertilizers and Agricultural Chemicals","17.26B","10.14","1.76B","1.78%","-11.38%","42.76%","Rating: Buy4.25","9.54%","75.42","","","1324404"
"2026-06-01","top_materials","60","YARIY","Yara International ASA","27.20","0.09%","Rating: Hold3.41","Fertilizers and Agricultural Chemicals","13.85B","9.89","1.40B","4.32%","-4.83%","48.47%","Rating: Buy4.00","14.62%","17.48","","","1279956"
"2026-06-01","top_materials","61","NTR","Nutrien Ltd.","69.58","1.50%","Rating: Hold3.40","Fertilizers and Agricultural Chemicals","32.86B","13.90","2.39B","3.21%","-7.53%","17.84%","Rating: Buy4.00","5.43%","53.03","","","1725964"
"2026-06-01","top_materials","62","TECK","Teck Resources Limited","67.49","2.01%","Rating: Hold3.40","Diversified Metals and Mining","32.46B","24.49","1.33B","0.55%","17.64%","54.26%","Rating: Hold3.00","9.05%","30.98","","","886986"
"2026-06-01","top_materials","63","MTRN","Materion Corporation","218.99","-0.48%","Rating: Hold3.39","Diversified Metals and Mining","4.58B","60.28","76.50M","0.26%","27.53%","80.08%","-Rating: Not Covered","7.70%","73.61","","","1104657"
"2026-06-01","top_materials","64","ICL","ICL Group Ltd","6.51","-1.96%","Rating: Hold3.38","Fertilizers and Agricultural Chemicals","8.57B","32.83","261.00M","3.22%","24.58%","18.78%","Rating: Hold3.00","5.26%","4.76","","","941221"
"2026-06-01","top_materials","65","EMN","Eastman Chemical Company","75.86","-0.01%","Rating: Hold3.38","Specialty Chemicals","8.67B","21.96","399.00M","4.43%","7.74%","22.21%","Rating: Buy4.00","-2.19%","56.11","","","915389"
"2026-06-01","top_materials","66","OLN","Olin Corporation","25.33","-2.09%","Rating: Hold3.36","Commodity Chemicals","2.95B","NM","-184.90M","3.09%","-5.51%","22.61%","Rating: Buy4.00","-2.72%","18.08","","","74303"
"2026-06-01","top_materials","67","HYMC","Hycroft Mining Holding Corporation","33.30","0.76%","Rating: Hold3.36","Gold","3.02B","NM","-77.19M","-","-3.39%","182.48%","Rating: Hold3.00","NM","2.93","","","1718405"
"2026-06-01","top_materials","68","CE","Celanese Corporation","56.08","5.55%","Rating: Hold3.35","Specialty Chemicals","5.83B","NM","-1.10B","0.23%","-18.37%","27.56%","Rating: Buy4.00","-3.10%","35.13","","","1306830"
"2026-06-01","top_materials","69","OEC","Orion S.A.","7.15","-6.41%","Rating: Hold3.33","Commodity Chemicals","430.81M","NM","-89.10M","1.08%","2.00%","50.39%","-Rating: Not Covered","-10.81%","4.35","","","1609804"
"2026-06-01","top_materials","70","STLD","Steel Dynamics, Inc.","261.68","0.59%","Rating: Hold3.33","Steel","37.52B","27.87","1.37B","0.81%","15.95%","55.01%","Rating: Hold3.00","16.12%","119.89","","","1022671"
"2026-06-01","top_materials","71","TRS","TriMas Corporation","40.07","-2.11%","Rating: Hold3.33","Metal, Glass & Plastic Containers","1.47B","87.07","908.55M","0.39%","13.44%","20.14%","-Rating: Not Covered","-8.05%","25.58","","","842633"
"2026-06-01","top_materials","72","USNZY","Usinas Siderúrgicas de Minas Gerais S.A.","2.13","-1.27%","Rating: Hold3.33","Steel","2.56B","NM","-503.44M","-","39.35%","122.68%","-Rating: Not Covered","33.05%","0.70","","",""
"2026-06-01","top_materials","73","LIN","Linde plc","493.39","-0.86%","Rating: Hold3.32","Industrial Gases","230.11B","33.00","7.08B","1.29%","-1.39%","21.29%","Rating: Hold3.00","5.92%","387.78","","","1707925"
"2026-06-01","top_materials","74","APD","Air Products and Chemicals, Inc.","278.11","-0.18%","Rating: Hold3.30","Industrial Gases","62.04B","29.36","2.11B","2.60%","-7.89%","6.73%","Rating: Buy3.50","4.61%","229.11","","","2969"
"2026-06-01","top_materials","75","FUL","H.B. Fuller Company","61.57","-3.92%","Rating: Hold3.30","Specialty Chemicals","3.49B","22.14","159.76M","1.53%","7.09%","9.95%","Rating: Hold3.00","4.88%","48.71","","","39368"
"2026-06-01","top_materials","76","SXT","Sensient Technologies Corporation","110.92","-2.57%","Rating: Hold3.30","Specialty Chemicals","4.85B","33.58","144.20M","1.44%","-5.55%","16.78%","Rating: Hold3.00","14.40%","82.60","","","310142"
"2026-06-01","top_materials","77","WLK","Westlake Corporation","87.09","0.30%","Rating: Hold3.30","Commodity Chemicals","11.12B","NM","-1.64B","2.44%","-22.06%","29.97%","Rating: Hold3.00","-4.26%","56.33","","","1262823"
"2026-06-01","top_materials","78","ESI","Element Solutions Inc","41.40","-2.24%","Rating: Hold3.29","Specialty Chemicals","10.34B","69.11","148.70M","0.75%","-0.31%","63.70%","Rating: Hold3.00","12.37%","20.80","","","1590714"
"2026-06-01","top_materials","79","MAGN","Magnera Corporation","11.18","-1.67%","Rating: Hold3.29","Paper Products","407.05M","NM","-110.00M","-","15.20%","-19.70%","-Rating: Not Covered","-","7.82","","","41719"
"2026-06-01","top_materials","80","RMIX","Suncrete, Inc.","17.46","-2.13%","Rating: Hold3.28","Construction Materials","1.53B","NM","1.98M","-","13.34%","57.46%","-Rating: Not Covered","-","9.20","","","2094433"
"2026-06-01","top_materials","81","SSRM","SSR Mining Inc.","30.14","-3.46%","Rating: Hold3.28","Gold","6.48B","11.97","230.52M","-","10.83%","34.11%","Rating: Buy4.00","94.11%","11.67","","","921638"
"2026-06-01","top_materials","82","BZZUY","Buzzi S.p.A.","26.06","-6.93%","Rating: Hold3.28","Construction Materials","9.70B","9.07","1.08B","1.45%","3.78%","-9.44%","-Rating: Not Covered","3.01%","23.40","","",""
"2026-06-01","top_materials","83","SLSR","Solaris Resources Inc.","10.57","3.63%","Rating: Hold3.27","Diversified Metals and Mining","1.70B","NM","-31.83M","-","3.66%","29.11%","-Rating: Not Covered","NM","4.25","","","2019103"
"2026-06-01","top_materials","84","ASPN","Aspen Aerogels, Inc.","6.33","-1.09%","Rating: Hold3.27","Specialty Chemicals","530.42M","NM","-111.99M","-","77.29%","98.76%","Rating: Hold3.00","-32.84%","2.30","","","1145986"
"2026-06-01","top_materials","85","GORO","Gold Resource Corporation","1.39","0.00%","Rating: Hold3.27","Gold","225.02M","33.00","6.60M","-","0.72%","76.62%","Rating: Hold3.00","-","0.43","","","1160791"
"2026-06-01","top_materials","86","SPPJY","Sappi Limited","0.75","-9.64%","Rating: Hold3.27","Paper Products","464.20M","NM","-677.00M","-","-12.06%","-39.28%","-Rating: Not Covered","-6.09%","0.68","","",""
"2026-06-01","top_materials","87","DD","DuPont de Nemours, Inc.","47.44","-2.02%","Rating: Hold3.26","Specialty Chemicals","19.61B","152.66","-29.00M","1.65%","8.52%","21.75%","Rating: Buy3.66","-15.91%","33.34","","","1666700"
"2026-06-01","top_materials","88","KNF","Knife River Corporation","76.74","-2.25%","Rating: Hold3.26","Construction Materials","4.46B","30.57","146.61M","-","-12.48%","4.90%","Rating: Buy4.00","9.52%","58.72","","","1955520"
"2026-06-01","top_materials","89","EEMMF","E3 Lithium Limited","0.86","-1.40%","Rating: Hold3.26","Diversified Metals and Mining","76.30M","NM","-4.38M","-","-5.53%","29.21%","-Rating: Not Covered","NM","0.49","","",""
"2026-06-01","top_materials","90","CRML","Critical Metals Corp.","12.29","9.73%","Rating: Hold3.26","Diversified Metals and Mining","1.65B","NM","-153.31M","-","-1.58%","36.09%","Rating: Buy3.50","-","1.32","","","1951089"
"2026-06-01","top_materials","91","CTVA","Corteva, Inc.","77.64","-0.59%","Rating: Hold3.25","Fertilizers and Agricultural Chemicals","52.36B","42.56","1.16B","0.92%","-1.37%","16.02%","Rating: Hold3.00","9.51%","60.54","","","1755672"
"2026-06-01","top_materials","92","ECVT","Ecovyst Inc.","13.00","-1.44%","Rating: Hold3.25","Specialty Chemicals","1.44B","76.50","-63.22M","-","-5.58%","43.37%","-Rating: Not Covered","-2.30%","7.35","","","1708035"
"2026-06-01","top_materials","93","UMICY","Umicore SA","7.30","0.14%","Rating: Hold3.25","Specialty Chemicals","7.09B","15.79","451.77M","2.01%","48.47%","67.59%","Rating: Hold3.00","13.61%","2.68","","",""
"2026-06-01","top_materials","94","IE","Ivanhoe Electric Inc.","13.60","1.00%","Rating: Hold3.24","Diversified Metals and Mining","2.13B","NM","-33.62M","-","9.34%","-5.94%","Rating: Hold3.00","NM","7.39","","","1879016"
"2026-06-01","top_materials","95","SLI","Standard Lithium Ltd.","4.10","1.99%","Rating: Hold3.24","Diversified Metals and Mining","954.15M","NM","-49.59M","-","8.65%","-4.06%","Rating: Buy4.33","NM","1.49","","","1537137"
"2026-06-01","top_materials","96","RPM","RPM International Inc.","103.53","-2.30%","Rating: Hold3.24","Specialty Chemicals","13.52B","20.41","665.93M","2.04%","5.24%","-1.19%","Rating: Hold3.00","5.85%","92.92","","","110621"
"2026-06-01","top_materials","97","USLM","United States Lime & Minerals, Inc.","110.83","-2.77%","Rating: Hold3.24","Construction Materials","3.26B","25.11","130.74M","0.21%","-11.11%","-6.24%","-Rating: Not Covered","-","94.02","","","82020"
"2026-06-01","top_materials","98","LOOP","Loop Industries, Inc.","1.42","1.97%","Rating: Hold3.22","Commodity Chemicals","67.19M","NM","-12.30M","-","2.96%","21.93%","-Rating: Not Covered","NM","0.88","","","1504678"
"2026-06-01","top_materials","99","LYSDY","Lynas Rare Earths Limited","13.65","-0.44%","Rating: Hold3.21","Diversified Metals and Mining","13.88B","241.23","54.95M","-","-0.22%","42.81%","-Rating: Not Covered","103.18%","5.18","","",""
"2026-06-01","top_materials","100","AG","First Majestic Silver Corp.","20.72","-1.71%","Rating: Hold3.20","Silver","10.43B","35.98","290.76M","0.32%","11.24%","38.41%","Rating: Buy3.50","103.26%","6.39","","","1308648"
