"Date","Type","Rank","Symbol","Company Name","Price","Change %","Quant Rating","Sector & Industry","Market Cap","P/E TTM","NET Income TTM","Yield FWD","1M Perf","6M Perf","SA Analyst Ratings","EBITDA FWD","52W Range","","","CIK"
"2026-06-01","top_utility","57","UGI","UGI Corporation","34.19","-2.09%","Rating: Hold2.95","Gas Utilities","7.49B","12.08","641.00M","4.30%","-7.05%","-11.71%","Rating: Buy4.00","3.80%","31.62","","","884614"
"2026-06-01","top_utility","58","HE","Hawaiian Electric Industries, Inc.","13.15","-1.13%","Rating: Hold2.93","Electric Utilities","2.30B","18.09","126.90M","-","-10.92%","13.10%","Rating: Hold3.00","NM","10.15","","","354707"
"2026-06-01","top_utility","59","IBDRY","Iberdrola, S.A.","89.86","-1.00%","Rating: Hold2.93","Electric Utilities","151.81B","24.48","6.93B","2.63%","-2.12%","7.24%","-Rating: Not Covered","5.20%","69.66","","",""
"2026-06-01","top_utility","60","XEL","Xcel Energy Inc.","77.00","-3.14%","Rating: Hold2.92","Electric Utilities","49.63B","22.91","2.09B","2.98%","0.86%","-3.18%","Rating: Buy4.00","16.24%","65.21","","","72903"
"2026-06-01","top_utility","61","AXIA.PR","AXIA Energia SA","11.09","-2.72%","Rating: Hold2.92","Electric Utilities","29.49B","17.48","1.84B","-","-14.93%","-9.45%","-Rating: Not Covered","16.93%","7.30","","",""
"2026-06-01","top_utility","62","PEGRY","Pennon Group Plc","13.45","-2.76%","Rating: Hold2.91","Water Utilities","3.28B","79.53","39.81M","3.52%","0.04%","-4.65%","-Rating: Not Covered","24.16%","11.80","","",""
"2026-06-01","top_utility","63","LNT","Alliant Energy Corporation","69.98","-2.28%","Rating: Hold2.90","Electric Utilities","18.50B","22.52","821.00M","2.99%","-0.54%","3.08%","Rating: Buy4.00","10.93%","59.62","","","352541"
"2026-06-01","top_utility","64","SBS","Companhia de Saneamento Básico do Estado de São Paulo - SABESP","5.47","-0.91%","Rating: Hold2.88","Water Utilities","19.41B","11.67","1.69B","-","-16.21%","7.94%","Rating: Buy4.00","27.79%","3.66","","","1170858"
"2026-06-01","top_utility","65","IBDRY","Iberdrola, S.A.","22.76","0.71%","Rating: Hold2.88","Electric Utilities","151.81B","24.48","6.93B","2.61%","-4.36%","5.46%","-Rating: Not Covered","5.20%","17.26","","",""
"2026-06-01","top_utility","66","EDRVY","EDP Renewables, S.A.","32.92","24.90%","Rating: Hold2.88","Renewable Electricity","17.37B","64.29","270.23M","-","-","-","-Rating: Not Covered","12.25%","18.79","","",""
"2026-06-01","top_utility","67","EONGY","E.ON SE","20.90","-1.34%","Rating: Hold2.87","Multi-Utilities","55.51B","13.98","3.97B","3.14%","-1.24%","19.28%","Rating: Hold3.00","9.35%","17.05","","","1136808"
"2026-06-01","top_utility","68","FTS","Fortis Inc.","54.56","-1.39%","Rating: Hold2.87","Electric Utilities","28.16B","22.68","1.30B","3.36%","-1.62%","5.33%","-Rating: Not Covered","9.09%","46.46","","","1666175"
"2026-06-01","top_utility","69","IDA","IDACORP, Inc.","136.20","-2.90%","Rating: Hold2.86","Electric Utilities","7.77B","23.39","331.81M","2.51%","-2.76%","6.44%","-Rating: Not Covered","17.81%","111.12","","","1057877"
"2026-06-01","top_utility","70","EVRG","Evergy, Inc.","80.48","-1.90%","Rating: Hold2.85","Electric Utilities","18.91B","21.85","882.10M","3.39%","0.87%","5.65%","Rating: Buy4.00","8.12%","64.70","","","1711269"
"2026-06-01","top_utility","71","POR","Portland General Electric Company","48.92","-2.40%","Rating: Hold2.85","Electric Utilities","5.80B","22.43","251.00M","4.40%","-1.82%","-1.38%","Rating: Buy3.50","12.27%","39.55","","","784977"
"2026-06-01","top_utility","72","OKLO","Oklo Inc.","69.33","3.66%","Rating: Hold2.84","Electric Utilities","11.64B","NM","-128.92M","-","2.92%","-26.81%","Rating: Hold3.22","NM","44.88","","","1849056"
"2026-06-01","top_utility","73","STRNY","Severn Trent PLC","39.89","-2.07%","Rating: Hold2.83","Water Utilities","12.04B","24.55","491.04M","4.85%","1.19%","7.58%","-Rating: Not Covered","19.12%","33.73","","",""
"2026-06-01","top_utility","74","WAVE","Eco Wave Power Global AB (publ)","8.65","-1.98%","Rating: Hold2.83","Renewable Electricity","51.51M","NM","-3.89M","-","24.23%","29.33%","-Rating: Not Covered","-","4.41","","","1846715"
"2026-06-01","top_utility","75","CWEN","Clearway Energy, Inc.","40.21","-1.19%","Rating: Hold2.83","Renewable Electricity","8.45B","547.66","9.00M","4.54%","7.78%","12.40%","Rating: Buy3.50","11.39%","27.67","","","1567683"
"2026-06-01","top_utility","76","MNTK","Montauk Renewables, Inc.","1.75","0.57%","Rating: Hold2.81","Renewable Electricity","247.67M","131.17","2.22M","-","20.83%","6.75%","-Rating: Not Covered","20.10%","1.07","","","1826600"
"2026-06-01","top_utility","77","DTE","DTE Energy Company","140.99","-1.32%","Rating: Hold2.81","Multi-Utilities","29.72B","23.50","1.26B","3.26%","-2.83%","4.26%","Rating: Buy4.00","11.22%","126.23","","","936340"
"2026-06-01","top_utility","78","AES","The AES Corporation","14.69","0.10%","Rating: Hold2.80","Independent Power Producers and Energy Traders","10.46B","7.64","1.35B","4.80%","1.52%","4.34%","Rating: Hold2.66","7.80%","9.96","","","874761"
"2026-06-01","top_utility","79","CEG","Constellation Energy Corporation","270.37","-6.04%","Rating: Hold2.79","Electric Utilities","103.93B","24.57","3.79B","0.59%","-3.11%","-21.03%","Rating: Buy3.62","19.65%","243.30","","","1868275"
"2026-06-01","top_utility","80","ELPC","Companhia Paranaense de Energia - COPEL","11.48","0.70%","Rating: Hold2.79","Electric Utilities","8.57B","16.47","524.20M","2.89%","-8.58%","12.54%","Rating: Buy4.00","21.34%","7.32","","","1041792"
"2026-06-01","top_utility","81","ES","Eversource Energy","67.18","-1.60%","Rating: Hold2.79","Electric Utilities","25.67B","14.59","1.75B","4.61%","-0.65%","1.62%","Rating: Buy3.50","7.86%","61.53","","","72741"
"2026-06-01","top_utility","82","AVA","Avista Corporation","40.81","-1.59%","Rating: Hold2.79","Multi-Utilities","3.43B","16.45","206.00M","4.75%","2.34%","0.22%","Rating: Buy3.50","8.80%","35.50","","","104918"
"2026-06-01","top_utility","83","WTRG","Essential Utilities, Inc.","36.43","-1.25%","Rating: Hold2.78","Water Utilities","10.46B","18.70","556.97M","3.71%","-6.58%","-6.82%","Rating: Buy4.00","11.75%","36.31","","","78128"
"2026-06-01","top_utility","84","BEPC","Brookfield Renewable Corporation","39.47","-1.28%","Rating: Hold2.78","Renewable Electricity","13.68B","NM","-4.54B","3.92%","13.58%","-3.64%","Rating: Hold3.33","9.02%","28.77","","","1791863"
"2026-06-01","top_utility","85","OGS","ONE Gas, Inc.","76.49","-1.61%","Rating: Hold2.78","Gas Utilities","4.88B","17.37","273.48M","3.50%","-11.27%","-7.17%","-Rating: Not Covered","8.37%","70.87","","","1587732"
"2026-06-01","top_utility","86","BKH","Black Hills Corporation","70.85","-2.71%","Rating: Hold2.77","Multi-Utilities","5.54B","18.76","288.30M","3.86%","-2.01%","-1.31%","Rating: Buy3.50","15.28%","55.49","","","1130464"
"2026-06-01","top_utility","87","AXIA","AXIA Energia SA","10.19","-1.64%","Rating: Hold2.76","Electric Utilities","29.49B","17.48","1.84B","6.61%","-14.10%","-11.83%","Rating: Buy4.00","16.93%","6.71","","","1439124"
"2026-06-01","top_utility","88","SPH","Suburban Propane Partners, L.P. Common Units","19.12","-1.44%","Rating: Hold2.76","Gas Utilities","1.29B","9.69","133.35M","6.70%","-1.02%","-0.77%","Rating: Sell2.00","5.67%","17.30","","","1005210"
"2026-06-01","top_utility","89","TXNM","TXNM Energy, Inc.","59.30","0.15%","Rating: Hold2.75","Electric Utilities","6.55B","43.64","146.18M","2.85%","0.59%","1.30%","-Rating: Not Covered","11.25%","56.17","","","1108426"
"2026-06-01","top_utility","90","PAM","Pampa Energía S.A.","87.43","2.56%","Rating: Hold2.75","Electric Utilities","4.84B","11.19","438.00M","-","2.97%","-5.98%","Rating: Buy4.00","26.05%","54.95","","","1469395"
"2026-06-01","top_utility","91","MDU","MDU Resources Group, Inc.","20.66","-1.99%","Rating: Hold2.75","Gas Utilities","4.41B","22.87","189.25M","2.66%","-3.96%","-1.13%","-Rating: Not Covered","9.30%","15.76","","","67716"
"2026-06-01","top_utility","92","SSEZY","SSE plc","31.10","-1.55%","Rating: Hold2.69","Electric Utilities","37.85B","22.50","1.70B","1.86%","-9.09%","6.76%","-Rating: Not Covered","12.07%","21.70","","",""
"2026-06-01","top_utility","93","MGEE","MGE Energy, Inc.","72.88","-2.86%","Rating: Hold2.60","Electric Utilities","3.02B","19.36","142.78M","2.52%","-4.13%","-8.84%","Rating: Hold3.00","12.89%","72.17","","","1161728"
"2026-06-01","top_utility","94","AWK","American Water Works Company, Inc.","121.56","-1.39%","Rating: Sell2.44","Water Utilities","24.07B","21.86","1.10B","2.90%","-6.59%","-5.23%","Rating: Buy4.00","10.78%","121.13","","","1410636"
"2026-06-01","top_utility","95","AQN","Algonquin Power & Utilities Corp.","5.83","-1.02%","Rating: Sell2.44","Multi-Utilities","4.55B","22.93","170.20M","4.41%","-4.38%","-4.38%","Rating: Buy4.00","4.38%","5.32","","","1174169"
"2026-06-01","top_utility","96","HTO","H2O America","56.97","-1.49%","Rating: Sell2.43","Water Utilities","2.42B","20.02","105.04M","3.04%","0.28%","24.55%","Rating: Hold3.33","10.56%","43.75","","","766829"
"2026-06-01","top_utility","97","CLPHY","CLP Holdings Limited","9.68","-1.53%","Rating: Sell2.42","Electric Utilities","24.66B","18.34","1.37B","3.27%","1.76%","10.95%","-Rating: Not Covered","1.62%","7.99","","",""
"2026-06-01","top_utility","98","EDN","Empresa Distribuidora y Comercializadora Norte Sociedad Anónima","28.53","3.22%","Rating: Sell2.36","Electric Utilities","1.28B","5.72","223.93M","-","9.25%","-20.46%","-Rating: Not Covered","27.51%","14.38","","","1395213"
"2026-06-01","top_utility","99","KEP","Korea Electric Power Corporation","12.91","-1.90%","Rating: Sell2.36","Electric Utilities","16.56B","2.86","5.79B","3.97%","-10.48%","-27.73%","Rating: Buy3.50","9.39%","10.08","","","887225"
"2026-06-01","top_utility","100","NWE","NorthWestern Energy Group, Inc.","68.63","-2.80%","Rating: Sell2.35","Multi-Utilities","4.34B","25.94","167.61M","3.80%","-1.02%","2.20%","-Rating: Not Covered","9.64%","50.46","","","1993004"
