Symbol,Company,Industry,Price,Dividend Yield(%),Price Movers: 1 Week(%),Price Movers: 4 Week(%),EPS F1 Est: 4 Week Change,EPS F2 Est: 4 Week Change,Last EPS Surprise,Market Cap (mil),P/E (F1),PEG,Projected Earnings Growth (1 Yr)(%),Projected Earnings Growth (3-5 Yrs)(%),Date Added,Value Score,Growth Score,Momentum Score,VGM Score,Price Movers: 1 Day(%),Price / Sales
"WOOF","Petco Health and Wellness Co.","Retail - Miscellaneous","2.84","0.00%","-2.04%","7.46%","0.00%","0.00%","-50","927.78","15.16","1.38","58.33%","11.02%","Apr 08,2026","B","A","F","A","1.41%",".16"
"PRA","ProAssurance","Insurance - Property and Casualty","24.66","0.00%","-0.12%","0.24%","0.93%","-0.60%","272.73","1,272.65","22.76","NA","-33.33%","NA","Apr 08,2026","D","F","D","F","-0.16%","1.16"
"SM","SM Energy","Oil and Gas - Exploration and Production - United States","30.96","2.89%","5.87%","-0.49%","16.69%","6.72%","13.7","7,304.94","4.45","NA","26.38%","NA","Apr 08,2026","A","D","D","B","-1.80%","2.32"
"AETUF","Arc Resources","Oil and Gas - Exploration and Production - Canadian","23.53","2.58%","24.30%","17.56%","39.07%","14.63%","50","13,267.07","10.73",".63","38.85%","16.98%","Apr 07,2026","C","C","A","B","-1.35%","2.86"
"BAK","Braskem","Chemical - Specialty","3.92","0.00%","15.00%","8.31%","-2.30%","0.00%","148.98","1,558.54","NA","NA","-426.32%","23.88%","Apr 07,2026","D","A","F","D","1.82%",".12"
"INR","Infinity Natural Resources Inc.","Oil and Gas - Exploration and Production - United States","16.60","0.00%","1.25%","-6.85%","2.47%","-5.71%","103.08","1,026.67","4.75","NA","283.15%","NA","Apr 07,2026","B","B","C","A","-0.61%","2.88"
"MBUU","Malibu Boats","Leisure and Recreation Products","24.70","0.00%","-1.49%","5.02%","0.00%","0.00%","33.33","478.27","19.63","NA","-17.09%","NA","Apr 07,2026","B","C","D","C","0.43%",".58"
"RDVT","Red Violet","Internet - Software and Services","40.53","0.00%","2.91%","11.72%","0.00%","0.00%","40","559.56","29.37","NA","3.85%","NA","Apr 07,2026","D","B","F","D","5.93%","6.2"
"SNX","TD SYNNEX CORP","Computers - IT Services","229.26","0.84%","0.22%","22.08%","3.81%","3.53%","45.09","18,345.25","13.86","1.1","24.87%","12.61%","Apr 07,2026","B","F","D","D","0.01%",".28"
"TBRG","TRUBRIDGE INC","Medical Info Systems","25.75","0.00%","0.08%","58.81%","0.00%","0.00%","92.68","384.45","11.46","1.45","-15.41%","7.92%","Apr 07,2026","B","A","C","A","0.35%","1.11"
"YPF","YPF Sociedad Anonima","Oil and Gas - Integrated - International","44.26","0.00%","1.02%","-4.07%","44.47%","0.00%","-316.88","17,061.91","6.87","NA","407.80%","NA","Apr 07,2026","A","D","C","B","-3.94%",".92"
"PLUS","ePlus","Business - Software Services","86.81","1.17%","0.46%","10.36%","0.00%","0.00%","43.56","2,248.91","15.37",".85","11.78%","18.00%","Apr 07,2026","C","F","D","F","0.61%",".95"
"ALTO","Alto Ingredients","Consumer Products - Discretionary","5.56","0.00%","2.07%","16.27%","0.00%","0.00%","850","419.70","28.58","NA","171.43%","NA","Apr 04,2026","C","C","F","C","-1.63%",".46"
